year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1967    5.2    6.1    7.2    9.4   11.0   15.7   16.0   16.2   14.5   10.3    7.3    5.6    5.49    9.18   15.99   10.72   10.40
1968    5.0    3.0    7.0    9.8   10.5   16.3   15.3   16.6   14.3   12.0    6.9    4.7    4.60    9.09   16.08   11.06   10.14
1969    5.5    2.0    4.6    9.0   11.6   16.2   17.0   17.4   14.4   13.5    5.1    4.8    4.16    8.41   16.89   11.03   10.16
1970    4.2    3.3    5.3    7.7   13.2   18.0   14.5   16.9   14.2   10.9    7.0    5.6    4.14    8.77   16.44   10.74   10.12
1971    5.6    6.2    7.0    9.8   13.6   13.5   17.2   16.0   15.6   12.2    7.2    8.1    5.81   10.13   15.58   11.68   11.04
1972    4.6    5.0    7.5    9.8   12.2   13.1   16.9   15.5   13.5   12.2    6.9    6.7    5.89    9.83   15.21   10.87   10.34
1973    5.5    5.2    8.4    8.2   12.0   15.7   16.7   16.7   14.2   10.3    6.7    5.6    5.82    9.53   16.40   10.41   10.47
1974    6.8    6.0    6.9   11.4   12.7   15.2   15.2   16.0   12.6    8.9    7.0    7.5    6.13   10.29   15.46    9.46   10.52
1975    6.6    5.7    6.0    9.1   11.7   16.2   17.3   19.0   13.4   11.5    7.4    7.2    6.61    8.93   17.51   10.75   10.95
1976    5.9    5.7    6.0    9.8   12.5   16.7   19.0   19.2   13.5   10.8    7.1    2.5    6.30    9.43   18.31   10.49   10.75
1977    3.5    4.1    7.5    8.0   12.6   14.4   17.5   16.5   13.2   12.4    6.3    6.4    3.38    9.38   16.14   10.64   10.25
1978    3.8    2.9    7.1    7.8   14.3   15.0   15.3   15.4   13.7   12.1    8.8    4.3    4.41    9.75   15.23   11.53   10.08
1979    2.0    2.6    4.6    8.2   10.6   15.5   15.8   15.1   13.8   11.5    7.1    5.2    2.98    7.80   15.46   10.82    9.37
1980    3.3    5.6    5.3   10.8   14.3   14.9   15.5   16.0   14.6    9.2    7.1    6.4    4.66   10.10   15.48   10.28   10.25
1981    5.7    4.7    7.4   10.2   13.6   14.2   15.7   17.0   14.9    8.2    7.9    1.8    5.63   10.42   15.65   10.30   10.14
1982    3.9    6.2    7.1   10.3   13.3   15.5   18.0   16.2   13.8   10.9    7.5    5.1    3.89   10.26   16.60   10.74   10.68
1983    6.6    3.5    7.2    7.7   10.8   14.7   19.1   18.4   13.1   10.8    8.3    7.1    5.13    8.59   17.41   10.70   10.66
