year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1991   -1.0   -1.8    1.8    2.6    5.3    6.0   11.1   10.3    6.8    5.1    2.0    0.9   -0.79    3.24    9.15    4.63    4.13
1992    0.3    1.2    1.9    2.8    5.9    8.7    9.1    8.4    7.1    2.1    1.5   -0.4    0.81    3.55    8.72    3.54    4.06
1993    0.4    2.4    1.2    3.2    4.5    8.1    8.5    7.9    6.2    3.0    0.4   -0.9    0.79    3.00    8.18    3.17    3.76
1994   -0.1   -1.1    0.9    1.9    3.4    7.4    9.8    8.7    6.5    4.3    5.1    1.1   -0.68    2.08    8.65    5.29    4.03
1995   -0.9    0.1   -0.5    2.5    4.5    7.2   10.1   10.2    7.5    6.9    3.0   -2.4    0.12    2.19    9.19    5.81    4.04
1996    2.0   -1.6    0.5    3.1    2.8    7.3    8.8   10.0    7.7    6.1    0.2   -0.7   -0.63    2.13    8.72    4.68    3.88
1997   -0.6    0.8    2.7    3.2    4.5    7.3    9.8   11.1    7.1    4.6    4.6    1.8   -0.21    3.48    9.42    5.42    4.76
1998    0.6    4.1    1.9    1.7    5.8    6.9    9.2    9.3    8.6    4.1    1.3    1.2    2.09    3.12    8.49    4.67    4.55
1999    0.7    0.1    1.6    3.4    6.0    7.1    9.8    8.9    9.2    5.9    2.9   -0.7    0.69    3.68    8.61    5.99    4.60
2000    1.1    0.9    2.4    1.8    4.7    7.2    8.8    9.5    8.6    5.1    1.8    0.9    0.42    2.97    8.47    5.16    4.40
2001   -1.3   -1.1   -1.1    1.8    5.4    7.1    9.6    9.4    7.7    8.3    3.0   -0.6   -0.49    2.05    8.73    6.36    4.06
2002    1.3    0.7    1.6    3.2    5.7    8.6    9.2   10.4    8.0    3.7    3.8    1.5    0.46    3.49    9.42    5.13    4.83
2003   -0.1   -0.8    1.3    3.7    5.6    9.2   11.1   10.1    7.4    3.1    3.3    0.2    0.25    3.51   10.12    4.59    4.53
2004    0.8   -0.3    1.2    4.1    5.6    8.6    9.1   10.9    8.3    4.9    3.3    1.4    0.24    3.64    9.55    5.48    4.84
2005    1.6    0.4    2.5    3.0    4.2    8.7    9.7    9.4    8.6    7.0    1.6    1.0    1.14    3.24    9.27    5.73    4.83
2006    0.6    0.0   -0.5    1.9    4.5    8.4   11.0    9.8    9.7    6.8    3.3    1.7    0.56    1.97    9.76    6.60    4.80
2007    1.9    1.2    1.7    4.5    4.8    8.5    9.3    9.1    7.2    6.0    3.4    0.3    1.63    3.66    8.96    5.53    4.84
2008    0.6    0.6    0.4    2.0    6.2    7.4   10.5   10.4    8.0    3.9    2.0   -0.6    0.50    2.88    9.43    4.63    4.29
2009   -0.2    0.3    1.5    3.8    5.0    7.8   10.0   10.2    8.8    5.9    2.8   -2.5   -0.18    3.46    9.35    5.81    4.48
2010   -2.5   -2.7    0.3    2.6    4.0    8.5    9.9    8.8    7.9    4.9   -0.0   -4.9   -2.54    2.27    9.04    4.28    3.08
2011   -0.6    0.9    1.1    4.7    5.5    6.9    8.5    8.8    8.7    6.8    4.8    0.4   -1.60    3.77    8.09    6.75    4.73
2012    0.6    1.6    3.2    1.3    4.2    7.1    8.9    9.7    7.1    2.7    1.7   -0.2    0.84    2.93    8.60    3.84    4.01
2013    0.7   -1.0   -1.6    1.0    4.4    7.5   10.8   10.1    7.7    6.7    1.1    2.5   -0.16    1.27    9.50    5.19    4.20
2014    1.2    1.4    2.3    4.4    6.1    9.2   10.1    8.6    8.9    6.0    3.7    0.3    1.71    4.28    9.29    6.21    5.21
2015   -0.2    0.1    1.0    1.8    4.0    6.8    8.7    9.2    7.0    5.1    3.5    2.6    0.08    2.28    8.27    5.21    4.17
2016    0.7   -0.8    1.2    1.5    5.6    8.6    9.8    9.7    9.5    4.9    0.2    2.8    0.83    2.75    9.34    4.87    4.47
2017    0.7    1.2    1.8    3.2    6.0    8.9    9.2    9.4    8.1    6.7    1.5    0.2    1.59    3.67    9.18    5.46    4.78
2018   -0.3   -1.3   -0.4    3.1    5.9    8.4   10.6    9.5    7.2    4.8    3.5    1.6   -0.43    2.86    9.52    5.15    4.42
2019   -0.2    1.6    2.4    3.3    4.2    7.8   11.2   10.5    8.0    4.1    1.1    1.6    0.97    3.32    9.86    4.38    4.65
2020    2.2    0.4    0.9    2.4    5.1    8.8    8.9    9.9    7.3    5.1    3.9    1.1    1.41    2.82    9.20    5.42    4.68
2021   -2.1   -0.1    2.2   -0.4    3.7    8.4   11.0    9.9    9.5                        -0.36    1.89    9.78                
